Authors	Title	Journal	Vol:Issue:Page	Year	Pubmed_Id	Citation_Number	Authors_Full_Name	First_Author	LastAuthor	Affiliations	Grants
Wamstad JA, Alexander JM, Truty RM, Shrikumar A, Li F, Eilertson KE, Ding H, Wylie JN, Pico AR, Capra JA, Erwin G, Kattman SJ, Keller GM, Srivastava D, Levine SS, Pollard KS, Holloway AK, Boyer LA, Bruneau BG	Dynamic and coordinated epigenetic regulation of developmental transitions in the cardiac lineage.	Cell	151:1:206-20	2012	22981692		Joseph A Wamstad, Jeffrey M Alexander, Rebecca M Truty, Avanti Shrikumar, Fugen Li, Kirsten E Eilertson, Huiming Ding, John N Wylie, Alexander R Pico, John A Capra, Genevieve Erwin, Steven J Kattman, Gordon M Keller, Deepak Srivastava, Stuart S Levine, Katherine S Pollard, Alisha K Holloway, Laurie A Boyer, Benoit G Bruneau	Joseph A Wamstad	Benoit G Bruneau	Department of Biology, Massachusetts Institute of Technology, Cambridge, 02139, USA.	NHLBI NIH HHS; U01HL098179
Hassel D, Cheng P, White MP, Ivey KN, Kroll J, Augustin HG, Katus HA, Stainier DY, Srivastava D	MicroRNA-10 regulates the angiogenic behavior of zebrafish and human endothelial cells by promoting vascular endothelial growth factor signaling.	Circ. Res.	111:11:1421-33	2012	22955733		David Hassel, Paul Cheng, Mark P White, Kathryn N Ivey, Jens Kroll, Hellmut G Augustin, Hugo A Katus, Didier Y R Stainier, Deepak Srivastava	David Hassel	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA. david.hassel@med.uni-heidelberg.de	NHLBI NIH HHS; U01 HL100406
Tomoda K, Takahashi K, Leung K, Okada A, Narita M, Yamada NA, Eilertson KE, Tsang P, Baba S, White MP, Sami S, Srivastava D, Conklin BR, Panning B, Yamanaka S	Derivation conditions impact X-inactivation status in female human induced pluripotent stem cells.	Cell Stem Cell	11:1:91-9	2012	22770243		Kiichiro Tomoda, Kazutoshi Takahashi, Karen Leung, Aki Okada, Megumi Narita, N Alice Yamada, Kirsten E Eilertson, Peter Tsang, Shiro Baba, Mark P White, Salma Sami, Deepak Srivastava, Bruce R Conklin, Barbara Panning, Shinya Yamanaka	Kiichiro Tomoda	Shinya Yamanaka	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, San Francisco, CA 94158, USA.	NHLBI NIH HHS; U01-HL100406
Srivastava D, Ieda M	Critical factors for cardiac reprogramming.	Circ. Res.	111:1:5-8	2012	22723217		Deepak Srivastava, Masaki Ieda	Deepak Srivastava	Masaki Ieda		NHLBI NIH HHS; U01 HL100406
Qian L, Huang Y, Spencer CI, Foley A, Vedantham V, Liu L, Conway SJ, Fu JD, Srivastava D	In vivo reprogramming of murine cardiac fibroblasts into induced cardiomyocytes.	Nature	485:7400:593-8	2012	22522929		Li Qian, Yu Huang, C Ian Spencer, Amy Foley, Vasanth Vedantham, Lei Liu, Simon J Conway, Ji-dong Fu, Deepak Srivastava	Li Qian	Deepak Srivastava	1Gladstone Institute of Cardiovascular Disease, San Francisco, California 94158, USA.	NHLBI NIH HHS; U01 HL100406
Misra C, Sachan N, McNally CR, Koenig SN, Nichols HA, Guggilam A, Lucchesi PA, Pu WT, Srivastava D, Garg V	Congenital heart disease-causing Gata4 mutation displays functional deficits in vivo.	PLoS Genet.	8:5:e1002690	2012	22589735		Chaitali Misra, Nita Sachan, Caryn Rothrock McNally, Sara N Koenig, Haley A Nichols, Anuradha Guggilam, Pamela A Lucchesi, William T Pu, Deepak Srivastava, Vidu Garg	Chaitali Misra	Vidu Garg	Center for Cardiovascular and Pulmonary Research and the Heart Center, Nationwide Children's Hospital, The Ohio State University, Columbus, Ohio, United States of America.	NHLBI NIH HHS; R01 HL095712
Park CY, Jeker LT, Carver-Moore K, Oh A, Liu HJ, Cameron R, Richards H, Li Z, Adler D, Yoshinaga Y, Martinez M, Nefadov M, Abbas AK, Weiss A, Lanier LL, de Jong PJ, Bluestone JA, Srivastava D, McManus MT	A resource for the conditional ablation of microRNAs in the mouse.	Cell Rep	1:4:385-91	2012	22570807		Chong Yon Park, Lukas T Jeker, Karen Carver-Moore, Alyssia Oh, Huey Jiin Liu, Rachel Cameron, Hunter Richards, Zhongmei Li, David Adler, Yuko Yoshinaga, Maria Martinez, Michael Nefadov, Abul K Abbas, Art Weiss, Lewis L Lanier, Pieter J de Jong, Jeffrey A Bluestone, Deepak Srivastava, Michael T McManus	Chong Yon Park	Michael T McManus	UCSF Diabetes Center, UCSF, San Francisco, CA 94143, USA.	NHLBI NIH HHS; R24 HL092851-01
Kathiresan S, Srivastava D	Genetics of human cardiovascular disease.	Cell	148:6:1242-57	2012	22424232		Sekar Kathiresan, Deepak Srivastava	Sekar Kathiresan	Deepak Srivastava	Center for Human Genetic Research and Cardiovascular Research Center, Massachusetts General Hospital, Boston, MA 02114, USA. skathiresan@partners.org	NHLBI NIH HHS; U01 HL100406-04
Funato N, Nakamura M, Richardson JA, Srivastava D, Yanagisawa H	Tbx1 regulates oral epithelial adhesion and palatal development.	Hum. Mol. Genet.	21:11:2524-37	2012	22371266		Noriko Funato, Masataka Nakamura, James A Richardson, Deepak Srivastava, Hiromi Yanagisawa	Noriko Funato	Hiromi Yanagisawa	Human Gene Sciences Center, Tokyo Medical and Dental University, 1-5-45 Yushima, Bunkyo-ku, Tokyo 113-8510, Japan.	NHLBI NIH HHS; R01 HL106305
Bernstein HS, Srivastava D	Stem cell therapy for cardiac disease.	Pediatr. Res.	71:4 Pt 2:491-9	2012	22430385		Harold S Bernstein, Deepak Srivastava	Harold S Bernstein	Deepak Srivastava	Department of Pediatrics, University of California, San Francisco, San Francisco, California, USA. harold.bernstein@ucsf.edu	NA
Roach JC, Glusman G, Hubley R, Montsaroff SZ, Holloway AK, Mauldin DE, Srivastava D, Garg V, Pollard KS, Galas DJ, Hood L, Smit AF	Chromosomal haplotypes by genetic phasing of human families.	Am. J. Hum. Genet.	89:3:382-97	2011	21855840		Jared C Roach, Gustavo Glusman, Robert Hubley, Stephen Z Montsaroff, Alisha K Holloway, Denise E Mauldin, Deepak Srivastava, Vidu Garg, Katherine S Pollard, David J Galas, Leroy Hood, Arian F A Smit	Jared C Roach	Arian F A Smit	Institute for Systems Biology, Seattle, WA 98109, USA.	NIGMS NIH HHS; R01 GM081083
Kwon C, Cheng P, King IN, Andersen P, Shenje L, Nigam V, Srivastava D	Notch post-translationally regulates β-catenin protein in stem and progenitor cells.	Nat. Cell Biol.	13:10:1244-51	2011	21841793		Chulan Kwon, Paul Cheng, Isabelle N King, Peter Andersen, Lincoln Shenje, Vishal Nigam, Deepak Srivastava	Chulan Kwon	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease and Department of Pediatrics, University of California, San Francisco, 1650 Owens Street, San Francisco, California 94158, USA. ckwon13@jhmi.edu	NHLBI NIH HHS; U01 HL100406
AlRais F, Feldstein VA, Srivastava D, Gosnell K, Moon-Grady AJ	Monochorionic twins discordant for congenital heart disease: a referral center's experience and possible pathophysiologic mechanisms.	Prenat. Diagn.	31:10:978-84	2011	21744365		F AlRais, V A Feldstein, D Srivastava, K Gosnell, A J Moon-Grady	F AlRais	A J Moon-Grady	Feto-Maternal Medicine Unit, Al-Wasl Hospital, Dubai Health Authority, Dubai, UAE.	NA
Qian L, Wythe JD, Liu J, Cartry J, Vogler G, Mohapatra B, Otway RT, Huang Y, King IN, Maillet M, Zheng Y, Crawley T, Taghli-Lamallem O, Semsarian C, Dunwoodie S, Winlaw D, Harvey RP, Fatkin D, Towbin JA, Molkentin JD, Srivastava D, Ocorr K, Bruneau BG, Bodmer R	Tinman/Nkx2-5 acts via miR-1 and upstream of Cdc42 to regulate heart function across species.	J. Cell Biol.	193:7:1181-96	2011	21690310		Li Qian, Joshua D Wythe, Jiandong Liu, Jerome Cartry, Georg Vogler, Bhagyalaxmi Mohapatra, Robyn T Otway, Yu Huang, Isabelle N King, Marjorie Maillet, Yi Zheng, Timothy Crawley, Ouarda Taghli-Lamallem, Christopher Semsarian, Sally Dunwoodie, David Winlaw, Richard P Harvey, Diane Fatkin, Jeffrey A Towbin, Jeffery D Molkentin, Deepak Srivastava, Karen Ocorr, Benoit G Bruneau, Rolf Bodmer	Li Qian	Rolf Bodmer	Development and Aging Program, NASCR Center, Sanford-Burnham Medical Research Institute, La Jolla, CA 92037, USA.	NHLBI NIH HHS; T32HL007731
Shieh JT, Huang Y, Gilmore J, Srivastava D	Elevated miR-499 levels blunt the cardiac stress response.	PLoS ONE	6:5:e19481	2011	21573063		Joseph T C Shieh, Yu Huang, Jacqueline Gilmore, Deepak Srivastava	Joseph T C Shieh	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, California, United States of America.	NHLBI NIH HHS; K08 HL092970
King IN, Qian L, Liang J, Huang Y, Shieh JT, Kwon C, Srivastava D	A genome-wide screen reveals a role for microRNA-1 in modulating cardiac cell polarity.	Dev. Cell	20:4:497-510	2011	21497762		Isabelle N King, Li Qian, Jianping Liang, Yu Huang, Joseph T C Shieh, Chulan Kwon, Deepak Srivastava	Isabelle N King	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA. iking@gladstone.ucsf.edu	NHLBI NIH HHS; R01 HL080592-06
Fish JE, Wythe JD, Xiao T, Bruneau BG, Stainier DY, Srivastava D, Woo S	A Slit/miR-218/Robo regulatory loop is required during heart tube formation in zebrafish.	Development	138:7:1409-19	2011	21385766		Jason E Fish, Joshua D Wythe, Tong Xiao, Benoit G Bruneau, Didier Y R Stainier, Deepak Srivastava, Stephanie Woo	Jason E Fish	Stephanie Woo	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA. jason.fish@utoronto.ca	Canadian Institutes of Health Research; 
Qian L, Van Laake LW, Huang Y, Liu S, Wendland MF, Srivastava D	miR-24 inhibits apoptosis and represses Bim in mouse cardiomyocytes.	J. Exp. Med.	208:3:549-60	2011	21383058		Li Qian, Linda W Van Laake, Yu Huang, Siyuan Liu, Michael F Wendland, Deepak Srivastava	Li Qian	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, San Francisco, CA 94143, USA.	NHLBI NIH HHS; U01 HL100406
Li Q, Kannan A, DeMayo FJ, Lydon JP, Cooke PS, Yamagishi H, Srivastava D, Bagchi MK, Bagchi IC	The antiproliferative action of progesterone in uterine epithelium is mediated by Hand2.	Science	331:6019:912-6	2011	21330545		Quanxi Li, Athilakshmi Kannan, Francesco J DeMayo, John P Lydon, Paul S Cooke, Hiroyuki Yamagishi, Deepak Srivastava, Milan K Bagchi, Indrani C Bagchi	Quanxi Li	Indrani C Bagchi	Department of Comparative Biosciences, University of Illinois Urbana/Champaign, Urbana, IL 61820, USA.	NICHD NIH HHS; U54HD055787
Yu S, Crawford D, Tsuchihashi T, Behrens TW, Srivastava D	The chemokine receptor CXCR7 functions to regulate cardiac valve remodeling.	Dev. Dyn.	240:2:384-93	2011	21246655		Sangho Yu, Dianna Crawford, Takatoshi Tsuchihashi, Timothy W Behrens, Deepak Srivastava	Sangho Yu	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, California, USA.	NHLBI NIH HHS; R01 HL080592-06
Tsuchihashi T, Maeda J, Shin CH, Ivey KN, Black BL, Olson EN, Yamagishi H, Srivastava D	Hand2 function in second heart field progenitors is essential for cardiogenesis.	Dev. Biol.	351:1:62-9	2011	21185281		Takatoshi Tsuchihashi, Jun Maeda, Chong H Shin, Kathryn N Ivey, Brian L Black, Eric N Olson, Hiroyuki Yamagishi, Deepak Srivastava	Takatoshi Tsuchihashi	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, University of California San Francisco, 1650 Owens Street, San Francisco, CA 94158, USA.	NHLBI NIH HHS; U01 HL100401
Sheehy NT, Cordes KR, White MP, Ivey KN, Srivastava D	The neural crest-enriched microRNA miR-452 regulates epithelial-mesenchymal signaling in the first pharyngeal arch.	Development	137:24:4307-16	2010	21098571		Neil T Sheehy, Kimberly R Cordes, Mark P White, Kathryn N Ivey, Deepak Srivastava	Neil T Sheehy	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA.	NCRR NIH HHS; C06 RR018928
Park CY, Pierce SA, von Drehle M, Ivey KN, Morgan JA, Blau HM, Srivastava D	skNAC, a Smyd1-interacting transcription factor, is involved in cardiac development and skeletal muscle growth and regeneration.	Proc. Natl. Acad. Sci. U.S.A.	107:48:20750-5	2010	21071677		Chong Yon Park, Stephanie A Pierce, Morgan von Drehle, Kathryn N Ivey, Jayson A Morgan, Helen M Blau, Deepak Srivastava	Chong Yon Park	Deepak Srivastava	Department of Pediatrics, Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, CA 94158, USA.	NHLBI NIH HHS; U01 HL100397
Maitra M, Koenig SN, Srivastava D, Garg V	Identification of GATA6 sequence variants in patients with congenital heart defects.	Pediatr. Res.	68:4:281-5	2010	20581743		Meenakshi Maitra, Sara N Koenig, Deepak Srivastava, Vidu Garg	Meenakshi Maitra	Vidu Garg	Department of Pediatrics, University of Texas Southwestern Medical Center, Dallas, Texas 75390, USA.	NHLBI NIH HHS; R01HL088965
Ieda M, Fu JD, Delgado-Olguin P, Vedantham V, Hayashi Y, Bruneau BG, Srivastava D	Direct reprogramming of fibroblasts into functional cardiomyocytes by defined factors.	Cell	142:3:375-86	2010	20691899		Masaki Ieda, Ji-Dong Fu, Paul Delgado-Olguin, Vasanth Vedantham, Yohei Hayashi, Benoit G Bruneau, Deepak Srivastava	Masaki Ieda	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, San Francisco, CA 94158, USA. ieda@cpnet.med.keio.ac.jp	NHLBI NIH HHS; U01 HL100406-03
Ivey KN, Srivastava D	MicroRNAs as regulators of differentiation and cell fate decisions.	Cell Stem Cell	7:1:36-41	2010	20621048		Kathryn N Ivey, Deepak Srivastava	Kathryn N Ivey	Deepak Srivastava	Department of Pediatrics, Gladstone Institute of Cardiovascular Disease, University of California San Francisco, 1650 Owens Street, San Francisco, CA 94158, USA.	NA
Nigam V, Sievers HH, Jensen BC, Sier HA, Simpson PC, Srivastava D, Mohamed SA	Altered microRNAs in bicuspid aortic valve: a comparison between stenotic and insufficient valves.	J. Heart Valve Dis.	19:4:459-65	2010	20845893		Vishal Nigam, Hans H Sievers, Brian C Jensen, Holger A Sier, Paul C Simpson, Deepak Srivastava, Salah A Mohamed	Vishal Nigam	Salah A Mohamed	Department of Pediatrics (Cardiology), University of California, San Francisco, USA.	NHLBI NIH HHS; K08 HL096836
van Laake LW, Qian L, Cheng P, Huang Y, Hsiao EC, Conklin BR, Srivastava D	Reporter-based isolation of induced pluripotent stem cell- and embryonic stem cell-derived cardiac progenitors reveals limited gene expression variance.	Circ. Res.	107:3:340-7	2010	20558827		Linda W van Laake, Li Qian, Paul Cheng, Yu Huang, Edward C Hsiao, Bruce R Conklin, Deepak Srivastava	Linda W van Laake	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, 94158, USA.	NHLBI NIH HHS; U01 HL100406
Shrivastava S, Srivastava D, Olson EN, DiMaio JM, Bock-Marquette I	Thymosin beta4 and cardiac repair.	Ann. N. Y. Acad. Sci.	1194:87-96	2010	20536454		Santwana Shrivastava, Deepak Srivastava, Eric N Olson, J Michael DiMaio, Ildiko Bock-Marquette	Santwana Shrivastava	Ildiko Bock-Marquette	Department of Cardiovascular and Thoracic Surgery, University of Texas, Southwestern Medical Center, Dallas, Texas, USA.	NA
Qian L, Srivastava D	Monkeying around with cardiac progenitors: hope for the future.	J. Clin. Invest.	120:4:1034-6	2010	20335651		Li Qian, Deepak Srivastava	Li Qian	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, Department of Pediatrics, University of California, San Francisco, California 94158, USA.	NHLBI NIH HHS; U01 HL100406
Cordes KR, Srivastava D, Ivey KN	MicroRNAs in cardiac development.	Pediatr Cardiol	31:3:349-56	2010	20140609		Kimberly R Cordes, Deepak Srivastava, Kathryn N Ivey	Kimberly R Cordes	Kathryn N Ivey	Gladstone Institute of Cardiovascular Disease and Department of Pediatrics, University of California, San Francisco, CA 94158, USA.	NA
Fish JE, Yan MS, Matouk CC, St Bernard R, Ho JJ, Ho JJ, Gavryushova A, Srivastava D, Marsden PA	Hypoxic repression of endothelial nitric-oxide synthase transcription is coupled with eviction of promoter histones.	J. Biol. Chem.	285:2:810-26	2010	19880524		Jason E Fish, Matthew S Yan, Charles C Matouk, Rosanne St Bernard, J J David Ho, J J David Ho, Anna Gavryushova, Deepak Srivastava, Philip A Marsden	Jason E Fish	Philip A Marsden	Department of Medical Biophysics, University of Toronto, Toronto, Ontario M5S 1A8, Canada.	Canadian Institutes of Health Research; MOP 79475
Woolfrey KM, Srivastava DP, Photowala H, Yamashita M, Barbolina MV, Cahill ME, Xie Z, Jones KA, Quilliam LA, Prakriya M, Penzes P	Epac2 induces synapse remodeling and depression and its disease-associated forms alter spines.	Nat. Neurosci.	12:10:1275-84	2009	19734897		Kevin M Woolfrey, Deepak P Srivastava, Huzefa Photowala, Megumi Yamashita, Maria V Barbolina, Michael E Cahill, Zhong Xie, Kelly A Jones, Lawrence A Quilliam, Murali Prakriya, Peter Penzes	Kevin M Woolfrey	Peter Penzes	Department of Physiology and Biological Chemistry, Northwestern University Feinberg School of Medicine, Chicago, Illinois, USA.	NINDS NIH HHS; R01 NS057499-02
Nigam V, Srivastava D	Notch1 represses osteogenic pathways in aortic valve cells.	J. Mol. Cell. Cardiol.	47:6:828-34	2009	19695258		Vishal Nigam, Deepak Srivastava	Vishal Nigam	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease and Departments of Pediatrics, University of California, San Francisco, CA 94158, USA. vnigam@ucsd.edu	NICHD NIH HHS; T32 HD049303
Kwon C, Qian L, Cheng P, Nigam V, Arnold J, Srivastava D	A regulatory pathway involving Notch1/beta-catenin/Isl1 determines cardiac progenitor cell fate.	Nat. Cell Biol.	11:8:951-7	2009	19620969		Chulan Kwon, Li Qian, Paul Cheng, Vishal Nigam, Joshua Arnold, Deepak Srivastava	Chulan Kwon	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease and Departments of Pediatrics and Biochemistry & Biophysics, University of California, San Francisco, 1650 Owens Street, San Francisco, CA 94158, USA. ckwon@gladstone.ucsf.edu	NHLBI NIH HHS; U01 HL100406
Shieh JT, Srivastava D	Heart malformation: what are the chances it could happen again?	Circulation	120:4:269-71	2009	19597046		Joseph T C Shieh, Deepak Srivastava	Joseph T C Shieh	Deepak Srivastava		NHLBI NIH HHS; K08 HL092970-01A1
Cordes KR, Sheehy NT, White MP, Berry EC, Morton SU, Muth AN, Lee TH, Miano JM, Ivey KN, Srivastava D	miR-145 and miR-143 regulate smooth muscle cell fate and plasticity.	Nature	460:7256:705-10	2009	19578358		Kimberly R Cordes, Neil T Sheehy, Mark P White, Emily C Berry, Sarah U Morton, Alecia N Muth, Ting-Hein Lee, Joseph M Miano, Kathryn N Ivey, Deepak Srivastava	Kimberly R Cordes	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, California 94158, USA.	NHLBI NIH HHS; U01 HL100406
Bock-Marquette I, Shrivastava S, Pipes GC, Thatcher JE, Blystone A, Shelton JM, Galindo CL, Melegh B, Srivastava D, Olson EN, DiMaio JM	Thymosin beta4 mediated PKC activation is essential to initiate the embryonic coronary developmental program and epicardial progenitor cell activation in adult mice in vivo.	J. Mol. Cell. Cardiol.	46:5:728-38	2009	19358334		Ildiko Bock-Marquette, Santwana Shrivastava, G C Teg Pipes, Jeffrey E Thatcher, Allissa Blystone, John M Shelton, Cristi L Galindo, Bela Melegh, Deepak Srivastava, Eric N Olson, J Michael DiMaio	Ildiko Bock-Marquette	J Michael DiMaio	Department of Cardiovascular and Thoracic Surgery, University of Texas Southwestern Medical Center, 6000 Harry Hines Blvd, Dallas, TX 75390-9148, USA. Ildiko.Bock-Marquette@UTSouthwestern.edu	NICHD NIH HHS; K08 HD054872-02
Cordes KR, Srivastava D	MicroRNA regulation of cardiovascular development.	Circ. Res.	104:6:724-32	2009	19325160		Kimberly R Cordes, Deepak Srivastava	Kimberly R Cordes	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, 1650 Owens St, San Francisco, CA 94158, USA.	NHLBI NIH HHS; R01 HL080592-06
Ellis J, Bruneau BG, Keller G, Lemischka IR, Nagy A, Rossant J, Srivastava D, Zandstra PW, Stanford WL	Alternative induced pluripotent stem cell characterization criteria for in vitro applications.	Cell Stem Cell	4:3:198-9; author reply 202	2009	19265656		James Ellis, Benoit G Bruneau, Gordon Keller, Ihor R Lemischka, Andras Nagy, Janet Rossant, Deepak Srivastava, Peter W Zandstra, William L Stanford	James Ellis	William L Stanford	ntario Human IPS Cell Facility, SickKids Research Institute, University of Toronto, Toronto, Ontario M5G 1L7, Canada.	NA
Ieda M, Tsuchihashi T, Ivey KN, Ross RS, Hong TT, Shaw RM, Srivastava D	Cardiac fibroblasts regulate myocardial proliferation through beta1 integrin signaling.	Dev. Cell	16:2:233-44	2009	19217425		Masaki Ieda, Takatoshi Tsuchihashi, Kathryn N Ivey, Robert S Ross, Ting-Ting Hong, Robin M Shaw, Deepak Srivastava	Masaki Ieda	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, 94158, USA.	NHLBI NIH HHS; R01 HL094414-04
Fish JE, Srivastava D	MicroRNAs: opening a new vein in angiogenesis research.	Sci Signal	2:52:pe1	2009	19126861		Jason E Fish, Deepak Srivastava	Jason E Fish	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, 1650 Owens Street, San Francisco, CA 94158, USA.	NHLBI NIH HHS; R01 HL080592-06
Kwon C, Cordes KR, Srivastava D	Wnt/beta-catenin signaling acts at multiple developmental stages to promote mammalian cardiogenesis.	Cell Cycle	7:24:3815-8	2008	19066459		Chulan Kwon, Kimberly R Cordes, Deepak Srivastava	Chulan Kwon	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, San Francisco, California 94158, USA. ckwon@gladstone.ucsf.edu	NHLBI NIH HHS; R01 HL080592-06
