Authors	Title	Journal	Vol:Issue:Page	Year	Pubmed_Id	Citation_Number	Authors_Full_Name	First_Author	LastAuthor	Affiliations	Grants
Wamstad JA, Alexander JM, Truty RM, Shrikumar A, Li F, Eilertson KE, Ding H, Wylie JN, Pico AR, Capra JA, Erwin G, Kattman SJ, Keller GM, Srivastava D, Levine SS, Pollard KS, Holloway AK, Boyer LA, Bruneau BG	Dynamic and coordinated epigenetic regulation of developmental transitions in the cardiac lineage.	Cell	151:1:206-20	2012	22981692	24	Joseph A Wamstad, Jeffrey M Alexander, Rebecca M Truty, Avanti Shrikumar, Fugen Li, Kirsten E Eilertson, Huiming Ding, John N Wylie, Alexander R Pico, John A Capra, Genevieve Erwin, Steven J Kattman, Gordon M Keller, Deepak Srivastava, Stuart S Levine, Katherine S Pollard, Alisha K Holloway, Laurie A Boyer, Benoit G Bruneau	Joseph A Wamstad	Benoit G Bruneau	Department of Biology, Massachusetts Institute of Technology, Cambridge, 02139, USA.	NHLBI NIH HHS; U01HL098179
Hassel D, Cheng P, White MP, Ivey KN, Kroll J, Augustin HG, Katus HA, Stainier DY, Srivastava D	MicroRNA-10 regulates the angiogenic behavior of zebrafish and human endothelial cells by promoting vascular endothelial growth factor signaling.	Circ. Res.	111:11:1421-33	2012	22955733	5	David Hassel, Paul Cheng, Mark P White, Kathryn N Ivey, Jens Kroll, Hellmut G Augustin, Hugo A Katus, Didier Y R Stainier, Deepak Srivastava	David Hassel	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA. david.hassel@med.uni-heidelberg.de	NHLBI NIH HHS; U01 HL100406
Tomoda K, Takahashi K, Leung K, Okada A, Narita M, Yamada NA, Eilertson KE, Tsang P, Baba S, White MP, Sami S, Srivastava D, Conklin BR, Panning B, Yamanaka S	Derivation conditions impact X-inactivation status in female human induced pluripotent stem cells.	Cell Stem Cell	11:1:91-9	2012	22770243	13	Kiichiro Tomoda, Kazutoshi Takahashi, Karen Leung, Aki Okada, Megumi Narita, N Alice Yamada, Kirsten E Eilertson, Peter Tsang, Shiro Baba, Mark P White, Salma Sami, Deepak Srivastava, Bruce R Conklin, Barbara Panning, Shinya Yamanaka	Kiichiro Tomoda	Shinya Yamanaka	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, San Francisco, CA 94158, USA.	NHLBI NIH HHS; U01-HL100406
Srivastava D, Ieda M	Critical factors for cardiac reprogramming.	Circ. Res.	111:1:5-8	2012	22723217	7	Deepak Srivastava, Masaki Ieda	Deepak Srivastava	Masaki Ieda		NHLBI NIH HHS; U01 HL100406
Qian L, Huang Y, Spencer CI, Foley A, Vedantham V, Liu L, Conway SJ, Fu JD, Srivastava D	In vivo reprogramming of murine cardiac fibroblasts into induced cardiomyocytes.	Nature	485:7400:593-8	2012	22522929	142	Li Qian, Yu Huang, C Ian Spencer, Amy Foley, Vasanth Vedantham, Lei Liu, Simon J Conway, Ji-dong Fu, Deepak Srivastava	Li Qian	Deepak Srivastava	1Gladstone Institute of Cardiovascular Disease, San Francisco, California 94158, USA.	NHLBI NIH HHS; U01 HL100406
Misra C, Sachan N, McNally CR, Koenig SN, Nichols HA, Guggilam A, Lucchesi PA, Pu WT, Srivastava D, Garg V	Congenital heart disease-causing Gata4 mutation displays functional deficits in vivo.	PLoS Genet.	8:5:e1002690	2012	22589735	NA	Chaitali Misra, Nita Sachan, Caryn Rothrock McNally, Sara N Koenig, Haley A Nichols, Anuradha Guggilam, Pamela A Lucchesi, William T Pu, Deepak Srivastava, Vidu Garg	Chaitali Misra	Vidu Garg	Center for Cardiovascular and Pulmonary Research and the Heart Center, Nationwide Children's Hospital, The Ohio State University, Columbus, Ohio, United States of America.	NHLBI NIH HHS; R01 HL095712
Park CY, Jeker LT, Carver-Moore K, Oh A, Liu HJ, Cameron R, Richards H, Li Z, Adler D, Yoshinaga Y, Martinez M, Nefadov M, Abbas AK, Weiss A, Lanier LL, de Jong PJ, Bluestone JA, Srivastava D, McManus MT	A resource for the conditional ablation of microRNAs in the mouse.	Cell Rep	1:4:385-91	2012	22570807	15	Chong Yon Park, Lukas T Jeker, Karen Carver-Moore, Alyssia Oh, Huey Jiin Liu, Rachel Cameron, Hunter Richards, Zhongmei Li, David Adler, Yuko Yoshinaga, Maria Martinez, Michael Nefadov, Abul K Abbas, Art Weiss, Lewis L Lanier, Pieter J de Jong, Jeffrey A Bluestone, Deepak Srivastava, Michael T McManus	Chong Yon Park	Michael T McManus	UCSF Diabetes Center, UCSF, San Francisco, CA 94143, USA.	NHLBI NIH HHS; R24 HL092851-01
Kathiresan S, Srivastava D	Genetics of human cardiovascular disease.	Cell	148:6:1242-57	2012	22424232	33	Sekar Kathiresan, Deepak Srivastava	Sekar Kathiresan	Deepak Srivastava	Center for Human Genetic Research and Cardiovascular Research Center, Massachusetts General Hospital, Boston, MA 02114, USA. skathiresan@partners.org	NHLBI NIH HHS; U01 HL100406-04
Funato N, Nakamura M, Richardson JA, Srivastava D, Yanagisawa H	Tbx1 regulates oral epithelial adhesion and palatal development.	Hum. Mol. Genet.	21:11:2524-37	2012	22371266	6	Noriko Funato, Masataka Nakamura, James A Richardson, Deepak Srivastava, Hiromi Yanagisawa	Noriko Funato	Hiromi Yanagisawa	Human Gene Sciences Center, Tokyo Medical and Dental University, 1-5-45 Yushima, Bunkyo-ku, Tokyo 113-8510, Japan.	NHLBI NIH HHS; R01 HL106305
Bernstein HS, Srivastava D	Stem cell therapy for cardiac disease.	Pediatr. Res.	71:4 Pt 2:491-9	2012	22430385	472	Harold S Bernstein, Deepak Srivastava	Harold S Bernstein	Deepak Srivastava	Department of Pediatrics, University of California, San Francisco, San Francisco, California, USA. harold.bernstein@ucsf.edu	NA
Roach JC, Glusman G, Hubley R, Montsaroff SZ, Holloway AK, Mauldin DE, Srivastava D, Garg V, Pollard KS, Galas DJ, Hood L, Smit AF	Chromosomal haplotypes by genetic phasing of human families.	Am. J. Hum. Genet.	89:3:382-97	2011	21855840	12	Jared C Roach, Gustavo Glusman, Robert Hubley, Stephen Z Montsaroff, Alisha K Holloway, Denise E Mauldin, Deepak Srivastava, Vidu Garg, Katherine S Pollard, David J Galas, Leroy Hood, Arian F A Smit	Jared C Roach	Arian F A Smit	Institute for Systems Biology, Seattle, WA 98109, USA.	NIGMS NIH HHS; R01 GM081083
Kwon C, Cheng P, King IN, Andersen P, Shenje L, Nigam V, Srivastava D	Notch post-translationally regulates β-catenin protein in stem and progenitor cells.	Nat. Cell Biol.	13:10:1244-51	2011	21841793		Chulan Kwon, Paul Cheng, Isabelle N King, Peter Andersen, Lincoln Shenje, Vishal Nigam, Deepak Srivastava	Chulan Kwon	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease and Department of Pediatrics, University of California, San Francisco, 1650 Owens Street, San Francisco, California 94158, USA. ckwon13@jhmi.edu	NHLBI NIH HHS; U01 HL100406
AlRais F, Feldstein VA, Srivastava D, Gosnell K, Moon-Grady AJ	Monochorionic twins discordant for congenital heart disease: a referral center's experience and possible pathophysiologic mechanisms.	Prenat. Diagn.	31:10:978-84	2011	21744365		F AlRais, V A Feldstein, D Srivastava, K Gosnell, A J Moon-Grady	F AlRais	A J Moon-Grady	Feto-Maternal Medicine Unit, Al-Wasl Hospital, Dubai Health Authority, Dubai, UAE.	NA
Qian L, Wythe JD, Liu J, Cartry J, Vogler G, Mohapatra B, Otway RT, Huang Y, King IN, Maillet M, Zheng Y, Crawley T, Taghli-Lamallem O, Semsarian C, Dunwoodie S, Winlaw D, Harvey RP, Fatkin D, Towbin JA, Molkentin JD, Srivastava D, Ocorr K, Bruneau BG, Bodmer R	Tinman/Nkx2-5 acts via miR-1 and upstream of Cdc42 to regulate heart function across species.	J. Cell Biol.	193:7:1181-96	2011	21690310	16	Li Qian, Joshua D Wythe, Jiandong Liu, Jerome Cartry, Georg Vogler, Bhagyalaxmi Mohapatra, Robyn T Otway, Yu Huang, Isabelle N King, Marjorie Maillet, Yi Zheng, Timothy Crawley, Ouarda Taghli-Lamallem, Christopher Semsarian, Sally Dunwoodie, David Winlaw, Richard P Harvey, Diane Fatkin, Jeffrey A Towbin, Jeffery D Molkentin, Deepak Srivastava, Karen Ocorr, Benoit G Bruneau, Rolf Bodmer	Li Qian	Rolf Bodmer	Development and Aging Program, NASCR Center, Sanford-Burnham Medical Research Institute, La Jolla, CA 92037, USA.	NHLBI NIH HHS; T32HL007731
Shieh JT, Huang Y, Gilmore J, Srivastava D	Elevated miR-499 levels blunt the cardiac stress response.	PLoS ONE	6:5:e19481	2011	21573063	29	Joseph T C Shieh, Yu Huang, Jacqueline Gilmore, Deepak Srivastava	Joseph T C Shieh	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, California, United States of America.	NHLBI NIH HHS; K08 HL092970
King IN, Qian L, Liang J, Huang Y, Shieh JT, Kwon C, Srivastava D	A genome-wide screen reveals a role for microRNA-1 in modulating cardiac cell polarity.	Dev. Cell	20:4:497-510	2011	21497762	16	Isabelle N King, Li Qian, Jianping Liang, Yu Huang, Joseph T C Shieh, Chulan Kwon, Deepak Srivastava	Isabelle N King	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA. iking@gladstone.ucsf.edu	NHLBI NIH HHS; R01 HL080592-06
Fish JE, Wythe JD, Xiao T, Bruneau BG, Stainier DY, Srivastava D, Woo S	A Slit/miR-218/Robo regulatory loop is required during heart tube formation in zebrafish.	Development	138:7:1409-19	2011	21385766	27	Jason E Fish, Joshua D Wythe, Tong Xiao, Benoit G Bruneau, Didier Y R Stainier, Deepak Srivastava, Stephanie Woo	Jason E Fish	Stephanie Woo	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA. jason.fish@utoronto.ca	Canadian Institutes of Health Research; 
Qian L, Van Laake LW, Huang Y, Liu S, Wendland MF, Srivastava D	miR-24 inhibits apoptosis and represses Bim in mouse cardiomyocytes.	J. Exp. Med.	208:3:549-60	2011	21383058	49	Li Qian, Linda W Van Laake, Yu Huang, Siyuan Liu, Michael F Wendland, Deepak Srivastava	Li Qian	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, San Francisco, CA 94143, USA.	NHLBI NIH HHS; U01 HL100406
Li Q, Kannan A, DeMayo FJ, Lydon JP, Cooke PS, Yamagishi H, Srivastava D, Bagchi MK, Bagchi IC	The antiproliferative action of progesterone in uterine epithelium is mediated by Hand2.	Science	331:6019:912-6	2011	21330545	35	Quanxi Li, Athilakshmi Kannan, Francesco J DeMayo, John P Lydon, Paul S Cooke, Hiroyuki Yamagishi, Deepak Srivastava, Milan K Bagchi, Indrani C Bagchi	Quanxi Li	Indrani C Bagchi	Department of Comparative Biosciences, University of Illinois Urbana/Champaign, Urbana, IL 61820, USA.	NICHD NIH HHS; U54HD055787
